出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位),用水密集度-單位,取得驗證,水資源管理或減量目標
1111005,110,2454,聯發科,381812.0000,僅母公司,34.7600,母公司員工人數,N,"透過回收雨水/空調冷凝水/RO餘水,以及使用省水馬桶/水龍頭等設備,提升水資源使用效率,2021年節水比例達4.9% (超過原設定目標4.0%)"
1111005,110,2455,全新,74480.0000,平鎮廠、平鎮二廠,74480.0000,產品,N,無
1111005,110,2457,飛宏,425754.0000,合併財務報表之母子公司,152.0000,人,N,年減5%
1111005,110,2458,義隆,22005.0000,義隆電子、義隆香港、義晶、義碩、義傳,32.5400,年-人,AA1000,無
1111005,110,2459,敦吉,6071.0000,母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓,,,N,倡導省水之美德
1111005,110,2460,建通,,,,,N,公司定期針對用水量及廢棄物進行統計控制，並於用水設施適當的張貼節約用水等標語。
1111005,110,2461,光群雷,10435.0000,僅母公司,7.7300,百萬營業額,N,政策宣導用水節約方針，架構純水設備排放水再利用
1111005,110,2462,良得電,,,,,N,推動各項節水方案，落實節水
1111005,110,2464,盟立,,,,,N,N/A
1111005,110,2465,麗臺,2954.0000,工廠,,,N,3.	公司使用水源為自來水，製程並無用水需求，只有一般生活用水(空調、飲用水、清潔等)，對環境影響衝擊不大。但基於環境永續考量，採取節水措施，例如水龍頭加裝節水閥來降低使用量，同時加強宣導節約用水的相關資訊。
1111005,110,2466,冠西電,10435.0000,母公司宜蘭廠,0.0177,營業額,N,無資料
1111005,110,2467,志聖,12231.0000,僅母公司,,,N,本公司目前暫無相關減量目標
1111005,110,2468,華經,1606.0000,包含合併財務報表之母子公司,,,N,無資料
1111005,110,2471,資通,7265.0000,主要來源為辦公同仁基本之民生用水。,,,N,呼籲同仁節約用水。
1111005,110,2472,立隆電,2597820.0000,合併,,,N,"公司每月統計用電及co2排放量，以掌控各單位
節能減碳作業之執行情形，並設置雨水回收循
環供應景觀池及廁所汙物盆，以節省用水量。"
1111005,110,2474,可成,1327796.0000,僅母公司台南廠區自來水總用量,0.2313,產品,N,藉由節水措施與水資源再生機制，減少自來水使用量，並全面落實廢水管理持續嚴格管控水質，將環境生態造成的影響降到最低，達到與環境生態永續共存之目標。
1111005,110,2476,鉅祥,,,,,N,尚在盤查中
1111005,110,2477,美隆電,5322.0000,110/01/01~110/12/31,1.6092,營業額,N,持續推動各項節水方案，落實節水成效透過日常管理及巡檢，發掘可行節水措施推動水資源教育，提升利害關係人用水素養。
1111005,110,2478,大毅,261774.0000,母公司,0.0000,營業額,N,研擬中
1111005,110,2480,敦陽科,1385.0000,新竹總公司,1385.0000,營業額,N,本公司的營運模式主要為產品銷售與客戶服務，我們無製造工廠，營運型態屬一般辦公大樓，未大量使用水資源，日常辦公用水為我們主要的用水來源，並取自市政用水，對水源無顯著影響。在廢水管理方面，辦公室廢水產生主要為生活污水，我們依地方法規排放至公共下水道後由地方廢水處理廠處理，對生態環境無顯著衝擊。為珍惜水資源使用，我們持續探索各項節水的可能性。例如:更換中央空調冷卻水塔設備，公共區域使用省水馬桶調節馬桶沖水量、小便斗使用自動感應給水，以達節水目的。
1111005,110,2481,強茂,350833.0000,岡山廠,40.3000,營業額,N,為降低對環境負荷，本公司廠內製程廢水經廢水處理後依排水特性分流管理，以增加水量回收率及降低廢水處理加藥量，並於111年增設製程之用水回收系統，以期達到製程用水回收率較110年度提升5%之目標。
1111005,110,2482,連宇,6525.0000,母公司,,,N,無資料
1111005,110,2483,百容,17379.0000,僅母公司,,,N,設置雨水儲存澆灌系統
1111005,110,2484,希華,72529.0000,母公司,25.7200,百萬營業額,N,無，本公司非屬高耗能產業
